1	Toolkit	UNKNOWN
2	Steel cannonball	UNKNOWN
3	Nulodion's notes	UNKNOWN
4	Ammo mould	UNKNOWN
5	Instruction manual	UNKNOWN
6	Cannon base	UNKNOWN
7	Twpart1	UNKNOWN
8	Cannon stand	UNKNOWN
9	Twpart2	UNKNOWN
10	Cannon barrels	SKILLING
11	Twpart3	UNKNOWN
12	Cannon furnace	UNKNOWN
13	Twpart4	UNKNOWN
14	Railing	UNKNOWN
15	Holy table napkin	UNKNOWN
16	Magic whistle	UNKNOWN
17	Grail bell	UNKNOWN
18	Magic gold feather	SKILLING
19	Holy grail	UNKNOWN
20	White cog	UNKNOWN
21	Black cog	UNKNOWN
22	Blue cog	UNKNOWN
23	Red cog	UNKNOWN
24	Rat poison	UNKNOWN
25	Red vine worm	UNKNOWN
26	Fishing trophy	SKILLING
27	Fishing pass	SKILLING
28	Insect repellent	UNKNOWN
29	Insect Repellent	UNKNOWN
30	Bucket of wax	CLEANUP
31	Bucket Wax	CLEANUP
32	Lit black candle	UNKNOWN
33	Lit candle	UNKNOWN
34	Null	UNKNOWN
35	Excalibur	UNKNOWN
36	Candle	UNKNOWN
37	Unlit Candle	UNKNOWN
38	Black candle	UNKNOWN
39	Bronze arrowtips	UNKNOWN
40	Iron arrowtips	UNKNOWN
41	Steel arrowtips	UNKNOWN
42	Mithril arrowtips	UNKNOWN
43	Adamant arrowtips	UNKNOWN
44	Rune arrowtips	RUNE
45	Opal bolt tips	UNKNOWN
46	Pearl bolt tips	UNKNOWN
47	Barb bolttips	SKILLING
48	Longbow (u)	GEAR
49	Unstrung Longbow	GEAR
50	Shortbow (u)	GEAR
51	Unstrung Shortbow	GEAR
52	Arrow shaft	UNKNOWN
53	Headless arrow	UNKNOWN
54	Oak shortbow (u)	GEAR
55	Unstrung Oak Shortbow	GEAR
56	Oak longbow (u)	GEAR
57	Unstrung Oak Longbow	GEAR
58	Willow longbow (u)	GEAR
59	Unstrung Willow Longbow	GEAR
60	Willow shortbow (u)	GEAR
61	Unstrung Willow Shortbow	GEAR
62	Maple longbow (u)	GEAR
63	Unstrung Maple Longbow	GEAR
64	Maple shortbow (u)	GEAR
65	Unstrung Maple Shortbow	GEAR
66	Yew longbow (u)	GEAR
67	Unstrung Yew Longbow	GEAR
68	Yew shortbow (u)	GEAR
69	Unstrung Yew Shortbow	GEAR
70	Magic longbow (u)	GEAR
71	Unstrung Magic Longbow	GEAR
72	Magic shortbow (u)	GEAR
73	Unstrung Magic Shortbow	GEAR
74	Khazard helmet	GEAR
75	Khazard armour	GEAR
76	Khazard cell keys	UNKNOWN
77	Khali brew	POTION
78	Ice arrows	UNKNOWN
79	Ice Arrow 4	UNKNOWN
80	Ice Arrow 3	UNKNOWN
81	Ice Arrow 2	UNKNOWN
82	Ice Arrow 5	UNKNOWN
83	Lever	UNKNOWN
84	Staff of armadyl	GEAR
85	Shiny key	UNKNOWN
86	Pendant of lucien	UNKNOWN
87	Armadyl pendant	UNKNOWN
88	Boots of lightness	GEAR
89	Boots of lightness	GEAR
90	Child's blanket	UNKNOWN
91	Guam potion (unf)	POTION
92	Guamvial	CLEANUP
93	Marrentill potion (unf)	POTION
94	Marrentillvial	CLEANUP
95	Tarromin potion (unf)	POTION
96	Tarrominvial	CLEANUP
97	Harralander potion (unf)	POTION
98	Harralandervial	CLEANUP
99	Ranarr potion (unf)	POTION
100	Ranarrvial	CLEANUP
101	Irit potion (unf)	POTION
102	Iritvial	CLEANUP
103	Avantoe potion (unf)	POTION
104	Avantoevial	CLEANUP
105	Kwuarm potion (unf)	POTION
106	Kwuarmvial	CLEANUP
107	Cadantine potion (unf)	POTION
108	Cadantinevial	CLEANUP
109	Dwarf weed potion (unf)	POTION
110	Dwarfweedvial	CLEANUP
111	Torstol potion (unf)	POTION
112	Torstolvial	CLEANUP
113	Strength potion(4)	POTION
114	Strength4	UNKNOWN
115	Strength potion(3)	POTION
116	3Dose1strength	POTION
117	Strength potion(2)	POTION
118	2Dose1strength	POTION
119	Strength potion(1)	POTION
120	1Dose1strength	POTION
121	Attack potion(3)	POTION
122	3Dose1attack	POTION
123	Attack potion(2)	POTION
124	2Dose1attack	POTION
125	Attack potion(1)	POTION
126	1Dose1attack	POTION
127	Restore potion(3)	POTION
128	3Dosestatrestore	POTION
129	Restore potion(2)	POTION
130	2Dosestatrestore	POTION
131	Restore potion(1)	POTION
132	1Dosestatrestore	POTION
133	Defence potion(3)	POTION
134	3Dose1defense	POTION
135	Defence potion(2)	POTION
136	2Dose1defense	POTION
137	Defence potion(1)	POTION
138	1Dose1defense	POTION
139	Prayer potion(3)	POTION
140	3Doseprayerrestore	POTION
141	Prayer potion(2)	POTION
142	2Doseprayerrestore	POTION
143	Prayer potion(1)	POTION
144	1Doseprayerrestore	POTION
145	Super attack(3)	POTION
146	3Dose2attack	POTION
147	Super attack(2)	POTION
148	2Dose2attack	POTION
149	Super attack(1)	POTION
150	1Dose2attack	POTION
151	Fishing potion(3)	POTION
152	3Dosefisherspotion	POTION
153	Fishing potion(2)	POTION
154	2Dosefisherspotion	POTION
155	Fishing potion(1)	POTION
156	1Dosefisherspotion	POTION
157	Super strength(3)	POTION
158	3Dose2strength	POTION
159	Super strength(2)	POTION
160	2Dose2strength	POTION
161	Super strength(1)	POTION
162	1Dose2strength	POTION
163	Super defence(3)	POTION
